,Date,Price,Open,High,Low,Volume,Stock Volatility
0,2021-08-03,38130.3,39167.4,39766.6,37688.2,260.0,
1,2020-12-25,24689.6,23728.7,24778.9,23445.3,2400.0,
2,2021-08-16,45996.3,46991.6,48002.4,45672.1,2410.0,
3,2021-03-04,48428.0,50388.0,51757.7,47521.8,9560.0,10692.556843119113
4,2023-08-12,29428.2,29420.8,29480.8,29375.4,11070.0,11836.908844619586
5,2023-08-26,26017.1,26057.2,26114.1,25993.5,12090.0,11381.49073862178
6,2023-09-23,26579.2,26581.7,26636.2,26517.5,12920.0,10648.471177082967
7,2023-09-09,25901.1,25909.5,25938.5,25814.3,13480.0,1657.8618418513333
8,2023-08-13,29300.1,29428.2,29468.5,29272.3,13490.0,1594.8829327466933
9,2023-10-14,26852.8,26863.5,26975.7,26805.1,13560.0,1482.8515479755076
10,2023-07-29,29353.5,29315.0,29400.1,29256.9,13900.0,1746.988575377648
11,2023-08-27,26100.6,26017.1,26176.8,25968.7,14290.0,1674.056770244075
12,2023-08-05,29068.1,29105.6,29139.3,28983.0,14550.0,1612.3411353267306
13,2024-02-03,43005.7,43194.7,43370.4,42882.0,14570.0,7560.260866475884
14,2023-08-06,29081.3,29067.9,29198.9,28987.4,16030.000000000002,7591.765375007758
15,2023-11-25,37787.0,37718.6,37887.4,37599.9,16090.0,6875.009349993643
16,2024-01-21,41583.2,41695.4,41878.0,41504.5,16110.0,6255.964499579579
17,2023-09-17,26529.1,26562.0,26614.4,26408.7,16570.0,7108.550101814016
18,2023-07-15,30291.4,30316.8,30395.4,30246.9,17060.0,6865.4997484402675
19,2023-10-07,27961.1,27935.5,28021.3,27859.0,17290.0,6839.396329599086
20,2023-07-08,30288.8,30346.8,30379.9,30055.9,17410.0,1852.6863720914898
21,2023-09-30,26962.7,26908.1,27085.7,26887.5,17550.0,1682.9656265058384
22,2024-06-22,64261.0,64131.9,64523.9,63944.0,17550.0,17982.478107869338
23,2023-05-20,27116.2,26883.0,27147.2,26831.3,17720.0,18134.133599812078
24,2021-08-21,48875.8,49330.0,49719.1,48293.5,18200.0,18168.864014640534
25,2023-09-16,26562.0,26599.9,26769.0,26463.5,18450.0,18278.740263212887
26,2023-07-22,29788.9,29904.5,29988.0,29657.3,18470.0,10620.573433788792
27,2024-08-17,59483.1,58877.8,59659.5,58825.5,18510.0,15680.899893926156
28,2023-05-27,26857.5,26711.2,26882.9,26591.2,18680.0,15940.167878742688
29,2024-06-01,67760.8,67533.9,67861.0,67449.6,19010.0,20692.65943265469
30,2024-06-23,63196.2,64261.0,64518.9,63195.3,19940.0,18621.56869063398
31,2023-07-09,30166.9,30288.8,30425.5,30071.9,20050.0,21466.26179574201
32,2023-07-16,30235.5,30291.8,30435.0,30075.4,20310.0,20452.449200116185
33,2024-02-04,42581.4,43006.2,43113.2,42379.4,20330.0,15569.355973192978
