,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-01,-3114.39697474,-8889.757590062954,3734.0593354755315,-3114.39697474,-3114.39697474,344.5159868514646,344.5159868514646,344.5159868514646,-42.32185393556066,-42.32185393556066,-42.32185393556066,386.83784078702524,386.83784078702524,386.83784078702524,0.0,0.0,0.0,-2769.8809878885354
1,2019-01-02,-3041.6611957478376,-8720.35811026078,3498.9421832443686,-3041.6611957478376,-3041.6611957478376,666.7419982487704,666.7419982487704,666.7419982487704,63.90583677485361,63.90583677485361,63.90583677485361,602.8361614739168,602.8361614739168,602.8361614739168,0.0,0.0,0.0,-2374.919197499067
2,2019-01-03,-2968.9254167556755,-8297.017154198009,4336.469104529653,-2968.9254167556755,-2968.9254167556755,764.3703426856729,764.3703426856729,764.3703426856729,-36.70621845456552,-36.70621845456552,-36.70621845456552,801.0765611402383,801.0765611402383,801.0765611402383,0.0,0.0,0.0,-2204.555074070003
3,2019-01-04,-2896.189637763513,-8508.808347800934,4240.9354082205155,-2896.189637763513,-2896.189637763513,969.074604879949,969.074604879949,969.074604879949,-8.705239736195722,-8.705239736195722,-8.705239736195722,977.7798446161446,977.7798446161446,977.7798446161446,0.0,0.0,0.0,-1927.115032883564
4,2019-01-05,-2823.453858771351,-7761.597717675943,4250.864321886016,-2823.453858771351,-2823.453858771351,1100.220621866232,1100.220621866232,1100.220621866232,-29.511097375747887,-29.511097375747887,-29.511097375747887,1129.7317192419798,1129.7317192419798,1129.7317192419798,0.0,0.0,0.0,-1723.233236905119
5,2019-01-06,-2750.718079779189,-8057.692145969042,5212.127124250948,-2750.718079779189,-2750.718079779189,1240.1974673061543,1240.1974673061543,1240.1974673061543,-14.161288396481911,-14.161288396481911,-14.161288396481911,1254.3587557026362,1254.3587557026362,1254.3587557026362,0.0,0.0,0.0,-1510.5206124730346
6,2019-01-07,-2677.982300787026,-7190.69295495734,4926.555575877368,-2677.982300787026,-2677.982300787026,1417.288651817788,1417.288651817788,1417.288651817788,67.49986112391983,67.49986112391983,67.49986112391983,1349.7887906938681,1349.7887906938681,1349.7887906938681,0.0,0.0,0.0,-1260.693648969238
7,2019-01-08,-2605.2465217948643,-7453.539116314112,5373.1881329184835,-2605.2465217948643,-2605.2465217948643,1372.572415085033,1372.572415085033,1372.572415085033,-42.32185393566017,-42.32185393566017,-42.32185393566017,1414.8942690206932,1414.8942690206932,1414.8942690206932,0.0,0.0,0.0,-1232.6741067098312
8,2019-01-09,-2532.5107428027018,-7356.603435028238,5253.928487287056,-2532.5107428027018,-2532.5107428027018,1513.2232877612146,1513.2232877612146,1513.2232877612146,63.905836774835976,63.905836774835976,63.905836774835976,1449.3174509863786,1449.3174509863786,1449.3174509863786,0.0,0.0,0.0,-1019.2874550414872
9,2019-01-10,-2459.7749638105392,-7021.934368829436,5446.659261101549,-2459.7749638105392,-2459.7749638105392,1416.7706489402021,1416.7706489402021,1416.7706489402021,-36.70621845472535,-36.70621845472535,-36.70621845472535,1453.4768673949275,1453.4768673949275,1453.4768673949275,0.0,0.0,0.0,-1043.004314870337
10,2019-01-11,-2387.039184818377,-7079.301241856709,5042.619551455933,-2387.039184818377,-2387.039184818377,1419.849637570983,1419.849637570983,1419.849637570983,-8.705239736298033,-8.705239736298033,-8.705239736298033,1428.5548773072812,1428.5548773072812,1428.5548773072812,0.0,0.0,0.0,-967.1895472473941
11,2019-01-12,-2314.3034058262147,-7290.493321573226,5020.939777822625,-2314.3034058262147,-2314.3034058262147,1346.955563142874,1346.955563142874,1346.955563142874,-29.511097376026836,-29.511097376026836,-29.511097376026836,1376.4666605189009,1376.4666605189009,1376.4666605189009,0.0,0.0,0.0,-967.3478426833406
12,2019-01-13,-2241.5676268340526,-7438.318652614635,5037.608279379891,-2241.5676268340526,-2241.5676268340526,1285.6501567636744,1285.6501567636744,1285.6501567636744,-14.16128839626353,-14.16128839626353,-14.16128839626353,1299.8114451599379,1299.8114451599379,1299.8114451599379,0.0,0.0,0.0,-955.9174700703782
13,2019-01-14,-2168.83184784189,-7465.882024182045,5346.386564390061,-2168.83184784189,-2168.83184784189,1269.3070797237942,1269.3070797237942,1269.3070797237942,67.49986112396644,67.49986112396644,67.49986112396644,1201.8072185998278,1201.8072185998278,1201.8072185998278,0.0,0.0,0.0,-899.5247681180958
14,2019-01-15,-2096.096068849728,-7326.759247102874,5252.907999663512,-2096.096068849728,-2096.096068849728,1043.8887313711812,1043.8887313711812,1043.8887313711812,-42.32185393558998,-42.32185393558998,-42.32185393558998,1086.210585306771,1086.210585306771,1086.210585306771,0.0,0.0,0.0,-1052.2073374785468
15,2019-01-16,-2023.3602898575657,-7324.944469840998,5164.156863121616,-2023.3602898575657,-2023.3602898575657,1021.1296443779427,1021.1296443779427,1021.1296443779427,63.905836774903406,63.905836774903406,63.905836774903406,957.2238076030392,957.2238076030392,957.2238076030392,0.0,0.0,0.0,-1002.230645479623
16,2019-01-17,-1950.6245108654034,-7384.707505008844,5244.07359057497,-1950.6245108654034,-1950.6245108654034,782.6851662407231,782.6851662407231,782.6851662407231,-36.70621845468779,-36.70621845468779,-36.70621845468779,819.3913846954108,819.3913846954108,819.3913846954108,0.0,0.0,0.0,-1167.9393446246804
17,2019-01-18,-1877.8887318732409,-7457.52131052316,5139.332683343079,-1877.8887318732409,-1877.8887318732409,668.7835439225598,668.7835439225598,668.7835439225598,-8.70523973640035,-8.70523973640035,-8.70523973640035,677.4887836589602,677.4887836589602,677.4887836589602,0.0,0.0,0.0,-1209.105187950681
18,2019-01-19,-1805.152952881079,-7749.827077914325,4609.6271114589745,-1805.152952881079,-1805.152952881079,506.8950291402195,506.8950291402195,506.8950291402195,-29.51109737552663,-29.51109737552663,-29.51109737552663,536.4061265157461,536.4061265157461,536.4061265157461,0.0,0.0,0.0,-1298.2579237408595
19,2019-01-20,-1732.4171738889163,-7703.20758949052,4930.245609015036,-1732.4171738889163,-1732.4171738889163,386.86846693894495,386.86846693894495,386.86846693894495,-14.16128839673725,-14.16128839673725,-14.16128839673725,401.02975533568224,401.02975533568224,401.02975533568224,0.0,0.0,0.0,-1345.5487069499713
20,2019-01-21,-1659.6813948967545,-7325.307380731897,4893.6095864027075,-1659.6813948967545,-1659.6813948967545,343.62450056653864,343.62450056653864,343.62450056653864,67.49986112379739,67.49986112379739,67.49986112379739,276.1246394427413,276.1246394427413,276.1246394427413,0.0,0.0,0.0,-1316.0568943302158
21,2019-01-22,-1586.945615904592,-7667.286252847087,4694.001060145438,-1586.945615904592,-1586.945615904592,123.89870049252363,123.89870049252363,123.89870049252363,-42.32185393561392,-42.32185393561392,-42.32185393561392,166.22055442813755,166.22055442813755,166.22055442813755,0.0,0.0,0.0,-1463.0469154120683
22,2019-01-23,-1514.2098369124296,-7524.951229459957,5250.407543950841,-1514.2098369124296,-1514.2098369124296,139.41068957481573,139.41068957481573,139.41068957481573,63.90583677498358,63.90583677498358,63.90583677498358,75.50485279983215,75.50485279983215,75.50485279983215,0.0,0.0,0.0,-1374.799147337614
23,2019-01-24,-1441.4740579202673,-7819.743401722783,4421.176069534573,-1441.4740579202673,-1441.4740579202673,-28.981754548818177,-28.981754548818177,-28.981754548818177,-36.70621845490205,-36.70621845490205,-36.70621845490205,7.724463906083874,7.724463906083874,7.724463906083874,0.0,0.0,0.0,-1470.4558124690855
