,Date,Price,Open,High,Low,Change %,Stock Volatility
0,2024-12-12,2748.3,2753.51,2760.91,2743.49,-0.30%,
1,2024-12-11,2756.7,2721.2,2759.7,2719.1,1.41%,
2,2024-12-10,2718.4,2684.4,2721.7,2680.7,1.21%,
3,2024-12-09,2685.8,2665.0,2700.0,2649.7,0.99%,32.180843162767786
4,2024-12-06,2659.6,2655.0,2667.9,2635.6,0.42%,41.96104344110933
5,2024-12-05,2648.4,2674.2,2680.0,2646.3,-1.04%,31.132566014812745
6,2024-12-04,2676.2,2665.8,2682.0,2654.2,0.31%,16.711273639871873
7,2024-12-03,2667.9,2662.0,2678.4,2656.6,0.35%,11.873885912651952
8,2024-12-02,2658.5,2673.8,2678.5,2644.5,-0.84%,11.991802755771998
9,2024-11-29,2681.0,2660.6,2690.5,2644.1,0.61%,9.880283396745682
10,2024-11-27,2664.8,2658.3,2683.4,2652.2,1.15%,9.477868958790795
11,2024-11-26,2634.4,2638.7,2655.5,2618.5,0.14%,19.332420955483393
12,2024-11-25,2630.6,2728.0,2735.5,2629.5,-3.46%,24.294032188996958
13,2024-11-22,2724.9,2683.6,2728.3,2683.6,1.41%,43.59184747939329
14,2024-11-21,2687.1,2663.9,2688.4,2663.9,0.88%,45.180711223559605
15,2024-11-20,2663.6,2648.8,2670.8,2634.4,0.34%,39.69941225425579
16,2024-11-19,2654.6,2639.8,2667.0,2638.1,0.62%,31.38221364616192
17,2024-11-18,2638.2,2595.0,2643.0,2592.0,1.72%,20.401858575467
18,2024-11-15,2593.6,2594.0,2604.0,2583.7,-0.11%,31.0983386480161
19,2024-11-14,2596.4,2602.0,2609.0,2565.0,-0.53%,30.44317110070332
20,2024-11-13,2610.3,2628.6,2648.8,2601.9,-0.76%,20.401695191005828
21,2024-11-12,2630.3,2650.2,2656.9,2619.9,-0.43%,16.7730935329986
22,2024-11-11,2641.7,2716.0,2717.2,2641.1,-2.86%,20.228754286906454
23,2024-11-08,2719.5,2737.4,2741.6,2712.0,-0.41%,47.827851021485095
24,2024-11-07,2730.6,2691.7,2742.1,2674.8,1.12%,51.82176987843425
25,2024-11-06,2700.4,2776.4,2782.8,2684.9,-2.67%,39.583035086596844
26,2024-11-05,2774.6,2770.3,2784.2,2758.2,0.13%,31.46123275821843
27,2024-11-04,2770.9,2768.4,2782.0,2764.9,-0.11%,35.31018502736588
28,2024-11-01,2773.9,2778.6,2797.0,2767.7,0.00%,36.402060381249825
29,2024-10-31,2774.0,2823.8,2826.0,2766.6,-1.83%,1.6623276853562072
30,2024-10-30,2825.7,2811.6,2826.3,2807.4,0.71%,26.42251249724047
31,2024-10-29,2805.8,2778.3,2812.4,2777.3,0.91%,25.464026913802016
32,2024-10-28,2780.5,2775.5,2782.8,2761.9,0.05%,23.814421401051007
33,2024-10-25,2779.1,2773.1,2785.4,2754.0,0.21%,22.296393579833452
34,2024-10-24,2773.3,2753.5,2780.1,2753.4,0.71%,14.424140644541353
35,2024-10-23,2753.8,2787.6,2796.1,2746.4,-1.10%,12.317568753620924
36,2024-10-22,2784.4,2759.3,2788.0,2758.0,0.76%,13.359266446934104
37,2024-10-21,2763.4,2760.2,2779.4,2754.0,0.33%,13.137065882463233
38,2024-10-18,2754.3,2731.4,2761.9,2731.4,0.84%,14.31371719715658
39,2024-10-17,2731.4,2714.0,2736.2,2712.6,0.61%,21.960627647379315
40,2024-10-16,2714.9,2702.9,2726.0,2698.8,0.46%,22.000151514633576
41,2024-10-15,2702.4,2688.9,2708.9,2678.2,0.50%,22.43486869436719
42,2024-10-14,2689.0,2696.1,2706.9,2684.3,-0.40%,18.06845778329795
43,2024-10-11,2699.7,2670.5,2701.9,2669.0,1.39%,10.643620937764164
44,2024-10-10,2662.6,2648.6,2672.0,2642.5,0.52%,18.163034805160372
45,2024-10-09,2648.8,2663.6,2665.2,2646.7,-0.35%,23.425680352982702
46,2024-10-08,2658.2,2685.3,2695.2,2646.4,-1.15%,22.33761774824662
47,2024-10-07,2689.1,2692.9,2702.2,2680.5,-0.06%,17.270663951725975
48,2024-10-04,2690.7,2698.6,2713.1,2675.2,-0.40%,21.37303597214907
49,2024-10-03,2701.6,2703.4,2705.0,2680.2,0.36%,18.646358000070382
50,2024-10-02,2692.0,2706.2,2706.6,2684.7,-0.76%,5.62642574524818
51,2024-10-01,2712.5,2677.7,2716.7,2677.0,1.16%,10.111709384015834
52,2024-09-30,2681.3,2702.0,2709.0,2668.8,-0.32%,13.326790061130893
53,2024-09-27,2689.9,2716.5,2718.5,2687.6,-0.19%,13.220281136702646
54,2024-09-26,2694.9,2681.2,2708.7,2677.5,0.38%,13.15890066330732
55,2024-09-25,2684.7,2682.8,2694.9,2673.4,0.29%,5.962102537426042
56,2024-09-24,2677.0,2653.3,2689.4,2647.1,0.92%,7.649564257750154
57,2024-09-23,2652.5,2646.2,2659.8,2638.6,0.24%,18.070671450357693
58,2024-09-20,2646.2,2611.2,2651.0,2608.7,1.21%,18.634555714230544
59,2024-09-19,2614.6,2585.1,2620.5,2575.3,0.62%,25.68610194898045
60,2024-09-18,2598.6,2596.0,2627.2,2572.5,0.24%,25.66065405765692
61,2024-09-17,2592.4,2609.8,2613.7,2587.3,-0.63%,24.059024640802384
62,2024-09-16,2608.9,2608.0,2617.4,2602.5,-0.07%,9.992121896777926
63,2024-09-13,2610.7,2587.5,2614.6,2585.0,1.17%,8.666602563869432
64,2024-09-12,2580.6,2540.6,2588.5,2538.7,1.50%,14.307690239869947
65,2024-09-11,2542.4,2545.7,2558.0,2529.0,-0.03%,31.95898413070626
66,2024-09-10,2543.1,2536.0,2547.5,2528.9,0.41%,32.9224340938931
67,2024-09-09,2532.7,2526.5,2536.5,2514.2,0.32%,21.139694100595026
68,2024-09-06,2524.6,2547.1,2559.8,2513.9,-0.73%,8.7912835619565
69,2024-09-05,2543.1,2526.4,2554.0,2523.7,0.68%,8.974175913887205
70,2024-09-04,2526.0,2524.6,2531.5,2502.7,0.12%,8.442353542312068
71,2024-09-03,2523.0,2536.0,2539.5,2504.4,-0.18%,9.363893421010946
72,2024-08-30,2527.6,2553.6,2560.1,2526.6,-1.28%,8.98790854426398
73,2024-08-29,2560.3,2539.2,2562.2,2536.5,0.89%,17.48759083846021
74,2024-08-28,2537.8,2559.8,2564.3,2527.8,-0.59%,16.61091508617358
75,2024-08-27,2552.9,2553.8,2561.4,2538.5,-0.09%,14.726506714088092
76,2024-08-26,2555.2,2545.1,2563.2,2544.0,0.35%,9.674192472764084
77,2024-08-23,2546.3,2521.1,2554.5,2519.8,1.18%,7.805340052388096
78,2024-08-22,2516.7,2549.9,2551.4,2506.4,-1.21%,17.787893823236832
79,2024-08-21,2547.5,2552.2,2558.0,2528.2,-0.12%,16.94842667231224
80,2024-08-20,2550.6,2542.4,2570.4,2535.1,0.37%,15.820740606350023
81,2024-08-19,2541.3,2549.7,2549.9,2523.7,0.14%,15.37733722073094
82,2024-08-16,2537.8,2494.4,2548.3,2488.2,1.82%,5.807466458512248
83,2024-08-15,2492.4,2486.2,2508.0,2469.2,0.51%,25.984274090304428
84,2024-08-14,2479.7,2506.3,2519.7,2476.2,-1.12%,31.352937129824475
85,2024-08-13,2507.8,2512.6,2517.3,2498.2,0.15%,25.041349138309567
86,2024-08-12,2504.0,2470.1,2513.4,2462.7,1.24%,12.673956235789456
87,2024-08-09,2473.4,2467.3,2476.5,2456.1,0.41%,17.209372446432713
88,2024-08-08,2463.3,2422.8,2467.9,2420.2,1.27%,22.122594031141542
89,2024-08-07,2432.4,2432.6,2447.3,2418.8,0.03%,29.520092027860464
90,2024-08-06,2431.6,2451.7,2459.5,2421.8,-0.52%,21.390398936594696
91,2024-08-05,2444.4,2490.3,2500.8,2403.8,-1.03%,14.791298117474266
92,2024-08-02,2469.8,2490.8,2522.5,2453.1,-0.44%,17.822364227752352
93,2024-08-01,2480.8,2493.4,2506.6,2474.0,0.32%,22.610543263413263
94,2024-07-31,2473.0,2455.6,2496.6,2449.2,0.86%,15.759018581964142
95,2024-07-30,2451.9,2429.0,2458.3,2421.5,2.09%,12.223304245035118
96,2024-07-29,2401.8,2410.1,2425.3,2391.6,-0.11%,35.54540523518242
97,2024-07-26,2404.5,2386.5,2413.3,2378.0,1.17%,35.32109851066313
98,2024-07-25,2376.6,2420.5,2423.8,2375.1,-2.58%,31.42133033466166
99,2024-07-24,2439.6,2432.6,2456.7,2420.9,0.35%,25.901399576083065
100,2024-07-23,2431.0,2421.8,2437.1,2413.3,0.52%,28.453163268781363
101,2024-07-22,2418.4,2427.5,2438.1,2409.0,-0.19%,27.92513801815973
102,2024-07-19,2423.0,2470.4,2471.6,2419.6,-2.33%,9.32237451868488
103,2024-07-18,2480.8,2487.0,2502.6,2467.3,-0.14%,28.807637876090865
104,2024-07-17,2484.3,2497.2,2512.8,2480.2,-0.31%,35.78699717308909
105,2024-07-16,2492.0,2452.4,2498.2,2448.7,1.59%,31.697147610892856
106,2024-07-15,2452.9,2444.2,2468.8,2430.0,0.34%,17.05422723745477
107,2024-07-12,2444.5,2444.8,2446.8,2420.0,-0.04%,23.246702275091042
108,2024-07-11,2445.6,2401.2,2453.8,2400.9,1.76%,22.477915087185053
109,2024-07-10,2403.2,2393.9,2416.7,2393.3,0.50%,22.543661341198735
110,2024-07-09,2391.2,2390.3,2400.8,2380.0,0.18%,28.06081193883435
111,2024-07-08,2387.0,2419.0,2422.1,2382.0,-1.41%,26.79421579371053
112,2024-07-05,2421.1,2387.9,2424.8,2380.0,2.39%,15.278825216616411
113,2024-07-03,2392.6,2362.0,2397.5,2360.0,1.54%,15.59922540811694
114,2024-07-02,2356.4,2364.0,2368.8,2350.8,-0.23%,26.5193482825883
115,2024-07-01,2361.9,2356.3,2371.0,2350.9,-0.03%,29.98077161559618
116,2024-06-28,2362.5,2359.7,2373.1,2352.6,0.14%,16.398068992003445
117,2024-06-27,2359.3,2331.8,2364.3,2330.0,1.00%,2.7873224905786977
118,2024-06-26,2335.9,2355.8,2357.7,2327.5,-0.75%,12.742579539996605
119,2024-06-25,2353.5,2366.7,2372.2,2350.0,-0.58%,11.866479399263087
120,2024-06-24,2367.2,2354.5,2370.1,2353.1,0.57%,13.293952259071338
121,2024-06-21,2353.9,2394.6,2403.5,2352.0,-1.58%,12.839360056734343
122,2024-06-20,2391.8,2366.7,2402.2,2361.4,2.08%,17.96570807584517
123,2024-06-18,2369.5,2356.9,2370.5,2345.0,0.75%,15.717294084325124
124,2024-06-17,2351.8,2369.2,2369.2,2347.4,-0.85%,18.47241186201252
125,2024-06-14,2371.9,2340.9,2374.1,2340.6,1.34%,16.371621788931808
126,2024-06-13,2340.6,2363.4,2365.0,2334.3,-1.55%,14.897986441120338
127,2024-06-12,2377.5,2353.5,2381.1,2350.3,1.21%,17.230302763826927
128,2024-06-11,2349.1,2350.2,2359.6,2337.6,-0.02%,17.727826525920882
129,2024-06-10,2349.6,2330.0,2353.1,2327.2,0.09%,16.07295865731643
130,2024-06-07,2347.6,2417.9,2429.2,2326.9,-2.74%,14.39178006131065
131,2024-06-06,2413.7,2399.5,2420.4,2395.3,0.65%,32.4777872809475
132,2024-06-05,2398.1,2370.1,2399.9,2368.0,1.20%,33.69950543652665
133,2024-06-04,2369.7,2393.2,2394.1,2358.5,-0.93%,29.430412274830513
134,2024-06-03,2392.0,2370.0,2398.0,2357.5,0.99%,18.237575679527723
135,2024-05-31,2368.5,2388.2,2404.0,2364.9,-0.87%,15.195695662473035
136,2024-05-30,2389.3,2382.8,2394.4,2367.0,1.07%,12.500233331149031
137,2024-05-29,2364.1,2384.7,2386.0,2356.6,-0.64%,14.215572447138314
138,2024-05-28,2379.3,2359.8,2388.0,2356.9,0.97%,11.308993471267694
139,2024-05-27,2356.5,2338.0,2365.5,2333.8,-0.02%,14.774753241024948
140,2024-05-24,2356.9,2352.5,2371.3,2348.7,-0.12%,10.65520217232781
141,2024-05-23,2359.7,2405.3,2407.9,2350.5,-2.32%,10.893423092238448
142,2024-05-22,2415.7,2448.3,2453.3,2400.8,-1.36%,29.034921502675022
143,2024-05-21,2449.1,2453.9,2461.2,2431.8,-0.51%,44.91662646874919
144,2024-05-20,2461.7,2445.7,2477.0,2434.4,0.87%,45.572908619044576
145,2024-05-17,2440.4,2403.6,2450.1,2400.8,1.33%,19.42890887311398
